DIVISION;BRIGADA;BATALLÓN;COMPAÑÍA
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 10 
Mayor “OSCAR GIRALDO RESTREPO”";ANTILOPE
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 10 
Mayor “OSCAR GIRALDO RESTREPO”";BALLESTA
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 10 
Mayor “OSCAR GIRALDO RESTREPO”";COLINA
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 10 
Mayor “OSCAR GIRALDO RESTREPO”";ESCUDO 
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 10 
Mayor “OSCAR GIRALDO RESTREPO”";DAGA
DIV03;TERCERA BRIGADA ;BIVEN;ALEMANIA
DIV03;TERCERA BRIGADA ;"Batallón de Infantería Liviana No. 23 
“VENCEDORES”";ALEMANIA
DIV03;TERCERA BRIGADA ;"Batallón de Infantería Liviana No. 23 
“VENCEDORES”";BELGICA
DIV03;TERCERA BRIGADA ;"Batallón de Infantería Liviana No. 23 
“VENCEDORES”";DINAMARCA
DIV03;TERCERA BRIGADA ;"Batallón de Ingenieros de Combate No. 3 
Coronel “AGUSTÍN CODAZZI”";ATILA
DIV03;TERCERA BRIGADA ;"Batallón de Ingenieros de Combate No. 3 
Coronel “AGUSTÍN CODAZZI”";ESTOPIN
DIV03;TERCERA BRIGADA ;"Batallón de Ingenieros de Combate No. 3 
Coronel “AGUSTÍN CODAZZI”";BARAYA
DIV03;TERCERA BRIGADA ;"Batallón de Ingenieros de Combate No. 3 
Coronel “AGUSTÍN CODAZZI”";CALDAS
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 3 
“RODRIGO LLOREDA CAICEDO”";ALUMINIO
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 3 
“RODRIGO LLOREDA CAICEDO”";BROMO
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 3 
“RODRIGO LLOREDA CAICEDO”";CALCIO
DIV03;TERCERA BRIGADA ;"Batallón de Montaña No. 3 
“RODRIGO LLOREDA CAICEDO”";ESTAÑO
DIV03;TERCERA BRIGADA ;"Batallón de Infantería Liviana No. 8 
“BATALLA DE PICHINCHA”";ALACRAN
DIV03;TERCERA BRIGADA ;"Batallón de Infantería Liviana No. 8 
“BATALLA DE PICHINCHA”";ALACRAN
DIV03;TERCERA BRIGADA ;"Batallón de Infantería Liviana No. 8 
“BATALLA DE PICHINCHA”";BUFALO
